Period	Habitat	Conductivity	TDS	Temperature	Flow	Depth	Width
August	1	24	13	25.6	0.25	44	33.5
November	1	30	15	28.2	0.26	45	24.14
February	1	32	16	24.5	0.33	55	50.21
May	1	27	19	26.1	0.32	59	54.35
August	2	25	13	25.9	0.24	23	20.35
November	2	32	16	28.5	0.28	27	17.5
February	2	34	16	25	0.31	32	20.6
May	2	28	14	26.2	0.36	36	21.68
August	3	25	13	25.6	1.12	63	30.95
November	3	30	15	28.1	1.17	62	33.12
February	3	34	17	25.2	1.43	77	48
May	3	28	14	26.2	1.48	91	51.15
August	4	25	13	25.9	0.05	43	20.01
November	4	36	18	28.1	0.04	47	28
February	4	34	15	25.3	0.07	52	38.07
May	4	28	14	26.3	0.1	55	44.25
August	5	24.4	13	25.9	0.09	14	20.01
November	5	32.8	16.6	28.1	0.07	18	28
February	5	33.2	17	25.3	0.23	27	38.07
May	5	27.8	15	26.3	0.19	46	44.25
