Species	  Potamorrhaphis_guianensis	  Acestrorhynchus_falcatus	  Acestrorhynchus_microlepis	  Astyanax_sp	  Hemigrammus_guyanensis 	  Hemigrammus_ocellifer	  Hemigrammus_sp_prata	  Hemigrammus_rodwayi	  Hyphessobrycon_copelandi 	  Hyphessobrycon_rosaceus	  Hyphessobrycon_sp	  Microschemobrycon_elongatus	  Microschemobrycon_geisleri	  Moenkhausia_collettii	  Moenkhausia_oligolepis	  Phenacogaster_sp	  Serrapinnus_sp	  Chilodus_punctatus	  Characidium_etheostoma	  Characidium_pteroides	  Microcharacidium_weitzmani	  Cyphocharax_helleri	  Hoplias_malabaricus	  Gasteropelecus_sternicula	  Bryconops_melanurus	  Iguanodectes_rachovii	  Nannostomus_beckfordi	  Nannostomus_eques	  Nannostomus_trifasciatus	  Aequidens_tetramerus	  Apistogramma_caetei	  Bujurquina_vittata	  Crenicichla_johanna	  Crenicichla_saxatilis	  Heros_efasciatus	  Mesonauta_sp	  Satanoperca_jurupari	  Micropoecilia_branneri	  Microsternarchus_bilineatus	  Eigenmannia_sp	  Monocirrhus_polyacanthus	  Bunocephalus_sp	  Corydoras_julii	  Ancistrus_sp	  Farlowella_sp	  Hypoptopoma_guianenses	  Hypoptopoma_sp	  Otocinclus_hoppei	  Rineloricaria_lanceolata	  Miuroglanis_platycephalus
habitat1	0	0	0	0	1	0	0	33	13	43	0	0	3	23	1	2	13	10	0	0	0	15	0	0	0	0	6	2	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
habitat1	0	0	0	0	0	0	0	17	8	17	4	0	1	15	7	0	0	0	0	0	18	27	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
habitat1	0	0	0	0	0	0	0	13	6	28	0	0	0	29	2	0	33	0	0	0	0	6	0	0	4	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
habitat1	0	0	0	0	0	0	0	10	9	32	0	0	0	25	0	0	8	1	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
habitat2	0	0	0	1	0	0	2	26	12	37	0	1	5	18	0	1	0	0	0	0	6	7	0	0	0	0	15	1	1	0	2	3	32	2	7	1	0	0	4	1	0	0	0	0	0	1	0	10	0	5
habitat2	0	0	0	0	0	0	0	13	13	21	0	0	12	19	6	0	16	0	0	1	14	2	0	0	0	0	1	8	2	1	0	0	4	0	0	0	2	0	3	0	0	0	0	0	0	0	0	9	0	1
habitat2	0	2	0	0	0	0	0	7	30	25	0	0	0	1	0	2	6	0	1	3	0	3	0	0	0	0	0	0	0	0	4	0	10	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
habitat2	0	0	0	0	0	0	0	10	12	0	0	0	1	7	0	0	0	3	0	0	2	13	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
habitat3	0	0	0	0	1	1	1	10	10	6	0	0	0	16	0	1	0	6	0	0	0	4	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	38	0	3
habitat3	0	0	0	0	4	0	3	42	20	18	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	11	0	5	0	0
habitat3	1	0	0	0	0	0	2	6	5	0	0	0	0	15	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	7	0	0
habitat3	0	0	0	0	0	0	0	7	3	8	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0
habitat4	0	0	0	0	0	1	0	7	19	48	0	0	7	19	0	4	0	0	0	0	5	8	0	0	0	0	22	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	5
habitat4	0	0	0	0	2	2	0	20	7	18	0	0	0	10	0	0	2	1	0	0	14	18	0	0	0	0	1	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
habitat4	0	0	1	0	0	0	0	2	0	2	0	0	3	17	0	0	2	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0
habitat4	0	0	0	0	0	0	0	3	3	10	0	0	0	3	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
habitat5	0	0	0	0	10	0	0	19	7	84	0	0	0	55	0	0	25	0	0	0	52	1	1	0	0	0	120	32	10	0	3	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0
habitat5	0	0	0	0	32	2	0	32	13	120	0	0	2	76	0	0	12	0	0	0	6	0	0	0	0	0	67	11	19	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
habitat5	0	0	0	0	0	0	0	10	0	80	0	0	0	9	0	5	2	0	0	0	11	3	0	2	0	0	34	23	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
habitat5	0	0	0	0	0	0	0	9	10	105	0	0	0	27	0	0	4	0	0	0	0	0	0	0	0	0	22	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
